MQ_KURZNAME,LÄNGE (WGS84),BREITE (WGS84)
TE338,13.34656354,52.51593484
TE338,13.34656354,52.51593484
TE338,13.34656354,52.51593484
TE339,13.38465351,52.556345
TE339,13.38465351,52.556345
TE340,13.38528412,52.55742884
TE340,13.38528412,52.55742884
TE341,13.36151697,52.53779361
TE341,13.36151697,52.53779361
TE342,13.36507758,52.53957747
TE342,13.36507758,52.53957747
TE345,13.41525702,52.50937395
TE346,13.41543408,52.50971353
TE347,13.42843082,52.55868034
TE347,13.42843082,52.55868034
TE348,13.36888026,52.51072166
TE349,13.34531026,52.49261394
TE350,13.34526793,52.49261383
TE350,13.34526793,52.49261383
TE351,13.41321009,52.51960155
TE351,13.41321009,52.51960155
TE352,13.38873502,52.51029773
TE352,13.38873502,52.51029773
TE353,13.38834798,52.51021537
TE353,13.38834798,52.51021537
TE354,13.38480042,52.50873959
TE355,13.36277811,52.52445577
TE356,13.41325065,52.51972244
TE356,13.41325065,52.51972244
TE357,13.38489405,52.50867253
TE360,13.36666539,52.50399965
TE365,13.39370072,52.51502877
TE366,13.3936766,52.51499741
TE367,13.40371076,52.51253529
TE367,13.40371076,52.51253529
TE367,13.40371076,52.51253529
TE368,13.40379339,52.51276325
TE368,13.40379339,52.51276325
TE368,13.40379339,52.51276325
TE369,13.39348412,52.51075032
TE369,13.39348412,52.51075032
TE370,13.39310269,52.51061763
TE370,13.39310269,52.51061763
TE379,13.38822273,52.50655142
TE380,13.38890608,52.50663813
TE384,13.43991863,52.46738234
TE385,13.44016281,52.46737011
TE386,13.31754334,52.46389648
TE386,13.31754334,52.46389648
TE387,13.39431594,52.50201271
TE387,13.39431594,52.50201271
TE388,13.39693916,52.50520567
TE388,13.39693916,52.50520567
TE391,13.44983083,52.50194777
TE391,13.44983083,52.50194777
TE391,13.44983083,52.50194777
TE392,13.46090916,52.4985548
TE392,13.46090916,52.4985548
TE393,13.46881619,52.51423249
TE393,13.46881619,52.51423249
TE393,13.46881619,52.51423249
TE394,13.46984019,52.51427863
TE394,13.46984019,52.51427863
TE394,13.46984019,52.51427863
TE395,13.31804085,52.46383059
TE395,13.31804085,52.46383059
TE397,13.28147568,52.51174135
TE397,13.28147568,52.51174135
TE398,13.30588145,52.49785277
TE402,13.43846667,52.51746256
TE410,13.40732173,52.529035
TE410,13.40732173,52.529035
TE414,13.45775531,52.45361245
TE414,13.45775531,52.45361245
TE415,13.4873386,52.42301215
TE415,13.4873386,52.42301215
TE424,13.36094196,52.49275861
TE425,13.34968427,52.48282483
TE425,13.34968427,52.48282483
TE426,13.36098709,52.49275611
TE427,13.3496333,52.48285484
TE431,13.41085059,52.5286484
TE431,13.41085059,52.5286484
TE435,13.33124488,52.50190765
TE435,13.33124488,52.50190765
TE436,13.33046363,52.49857823
TE436,13.33046363,52.49857823
TE437,13.31448025,52.5107973
TE439,13.28705429,52.50647774
TE439,13.28705429,52.50647774
TE440,13.28696166,52.50660915
TE440,13.28696166,52.50660915
TE452,13.35540245,52.52369576
TE452,13.35540245,52.52369576
TE463,13.54854903,52.427418
TE463,13.54854903,52.427418
TE469,13.40598689,52.52086178
TE470,13.40598689,52.52086178
TE470,13.40598689,52.52086178
TE471,13.40657904,52.52069638
TE471,13.40657904,52.52069638
TE472,13.40657904,52.52069638
TE475,13.39198682,52.4958355
TE475,13.39198682,52.4958355
TE476,13.3925616,52.49628942
TE476,13.3925616,52.49628942
TE477,13.39249012,52.49809455
TE477,13.39249012,52.49809455
TE478,13.39348294,52.49739201
TE478,13.39348294,52.49739201
TE478,13.39348294,52.49739201
TE479,13.39249012,52.49809455
TE484,13.45495137,52.52852554
TE484,13.45495137,52.52852554
TE484,13.45495137,52.52852554
TE490,13.41965097,52.55340292
TE490,13.41965097,52.55340292
TE493,13.41883615,52.52588636
TE493,13.41883615,52.52588636
TE494,13.41883615,52.52588636
TE502,13.35643582,52.52206752
TE502,13.35643582,52.52206752
TE503,13.35407473,52.52418392
TE503,13.35407473,52.52418392
TE507,13.34483178,52.49169414
TE507,13.34483178,52.49169414
TE508,13.34621537,52.49935575
TE508,13.34621537,52.49935575
TE508,13.34621537,52.49935575
TE509,13.34523407,52.49993608
TE509,13.34523407,52.49993608
TE510,13.34442798,52.50034221
TE510,13.34442798,52.50034221
TE511,13.31468272,52.5105879
TE519,13.44342765,52.50081566
TE519,13.44342765,52.50081566
TE520,13.44361973,52.50108644
TE520,13.44361973,52.50108644
TE521,13.49979639,52.43453385
TE521,13.49979639,52.43453385
TE522,13.49917858,52.4347094
TE522,13.49917858,52.4347094
TE523,13.48422579,52.42476978
TE523,13.48422579,52.42476978
TE524,13.45853732,52.45357593
TE524,13.45853732,52.45357593
TE525,13.49917858,52.4347094
TE526,13.48422579,52.42476978
TE527,13.41651389,52.5262709
TE527,13.41651389,52.5262709
TE527,13.41651389,52.5262709
TE528,13.43414889,52.48159647
TE528,13.43414889,52.48159647
TE529,13.43528212,52.48095163
TE529,13.43528212,52.48095163
TE530,13.38816757,52.43728069
TE530,13.38816757,52.43728069
TE531,13.3881446,52.43727521
TE532,13.54560583,52.4321926
TE532,13.54560583,52.4321926
TE532,13.54560583,52.4321926
TE533,13.46948069,52.47267454
TE534,13.46948069,52.47267454
TE538,13.46407008,52.45369789
TE539,13.5168346,52.39825314
TE539,13.5168346,52.39825314
TE545,13.38470095,52.53169469
TE545,13.38470095,52.53169469
TE545,13.38470095,52.53169469
TE546,13.38634201,52.53298974
TE546,13.38634201,52.53298974
TE546,13.38634201,52.53298974
TE546,13.38634201,52.53298974
TE546,13.38634201,52.53298974
TE546,13.38634201,52.53298974
TE547,13.38643696,52.53290922
TE547,13.38643696,52.53290922
TE547,13.38643696,52.53290922
TE547,13.38643696,52.53290922
TE547,13.38643696,52.53290922
TE547,13.38643696,52.53290922
TE548,13.38363808,52.53184474
TE548,13.38363808,52.53184474
TE548,13.38363808,52.53184474
TE549,13.38331199,52.53171076
TE549,13.38331199,52.53171076
TE549,13.38331199,52.53171076
TE550,13.34483178,52.49169414
TE552,13.38050804,52.5285437
TE552,13.38050804,52.5285437
TE552,13.38050804,52.5285437
TE553,13.38161501,52.53022326
TE553,13.38161501,52.53022326
TE553,13.38161501,52.53022326
TE553,13.38161501,52.53022326
TE553,13.38161501,52.53022326
TE553,13.38161501,52.53022326
TE554,13.38110102,52.53007174
TE554,13.38110102,52.53007174
TE554,13.38110102,52.53007174
TE555,13.380063,52.52968075
TE555,13.380063,52.52968075
TE555,13.380063,52.52968075
TE555,13.380063,52.52968075
TE555,13.380063,52.52968075
TE555,13.380063,52.52968075
TE556,13.38459774,52.53101461
TE556,13.38459774,52.53101461
TE556,13.38459774,52.53101461
TE556,13.38459774,52.53101461
TE556,13.38459774,52.53101461
TE556,13.38459774,52.53101461
TE557,13.38440419,52.53086852
TE557,13.38440419,52.53086852
TE557,13.38440419,52.53086852
TE557,13.38440419,52.53086852
TE557,13.38440419,52.53086852
TE557,13.38440419,52.53086852
TE558,13.38720907,52.53159173
TE559,13.38708894,52.53136172
TE560,13.38016378,52.50966956
TE560,13.38016378,52.50966956
TE561,13.3788682,52.50974724
TE561,13.3788682,52.50974724
TE562,13.37580403,52.50943202
TE562,13.37580403,52.50943202
TE563,13.36914302,52.50797094
TE563,13.36914302,52.50797094
TE568,13.34652074,52.48056663
TE568,13.34652074,52.48056663
TE569,13.34726666,52.48081582
TE569,13.34726666,52.48081582
TE574,13.37667083,52.48627648
TE575,13.37646482,52.48655059
TE576,13.37771183,52.47388581
TE576,13.37771183,52.47388581
TE577,13.37802581,52.47353045
TE577,13.37802581,52.47353045
TE578,13.37644429,52.46066301
TE578,13.37644429,52.46066301
TE579,13.37674329,52.46045235
TE579,13.37674329,52.46045235
TE580,13.38538189,52.46809989
TE580,13.38538189,52.46809989
TE581,13.38577635,52.46746233
TE581,13.38577635,52.46746233
TE582,13.38397042,52.45779423
TE582,13.38397042,52.45779423
TE583,13.38419618,52.45743978
TE583,13.38419618,52.45743978
TE592,13.30171853,52.50923226
TE592,13.30171853,52.50923226
TE593,13.30218315,52.5085314
TE593,13.30218315,52.5085314
